Description,Code,Number of jobs (thousand),Median annual pay
   Welfare and housing associate professionals n.e.c.,3229,146,26640
  Teaching and Childcare Associate Professionals,323,148,20261
   Higher level teaching assistants,3231,39,22050
   Early education and childcare practitioners,3232,109,19516
  Veterinary nurses,324,14,26666
   Veterinary nurses,3240,14,26666
 Protective service occupations,33,374,x
  Protective Service Occupations,331,374,x
   Non-commissioned officers and other ranks,3311,:,
   Police officers (sergeant and below),3312,274,x
   Fire service officers (watch manager and below),3313,55,40775
   Prison service officers (below principal officer),3314,9,31603
   Protective service associate professionals n.e.c.,3319,36,41592
" Culture, media and sports occupations",34,230,28102
"  Artistic, Literary and Media Occupations",341,84,33824
   Artists,3411,x,x
"   Authors, writers and translators",3412,20,36865
"   Actors, entertainers and presenters",3413,x,x
   Dancers and choreographers,3414,x,x
   Musicians,3415,x,x
"   Arts officers, producers and directors",3416,23,39643
"   Photographers, audio-visual and broadcasting equipment operators",3417,21,30396
  Design Occupations ,342,47,35957
   Interior designers,3421,18,34962
"   Clothing, fashion and accessories designers",3422,x,36731
   Design occupations n.e.c.,3429,23,37017
  Sports and Fitness Occupations,343,98,13819
   Sports players,3431,11,x
"   Sports coaches, instructors and officials",3432,62,12570
   Fitness and wellbeing instructors,3433,25,x
 Business and public service associate professionals,35,1883,38760
  Transport Associate Professionals,351,25,93538
   Aircraft pilots and air traffic controllers,3511,20,107712
   Ship and hovercraft officers,3512,x,x
  Legal Associate Professionals,352,41,32438
   Legal associate professionals,3520,41,32438
  Finance Associate Professionals,353,202,45911
   Brokers,3531,19,51026
   Insurance underwriters,3532,25,38666
   Financial and accounting technicians,3533,29,53265
   Financial accounts managers,3534,129,45162
  Business Associate Professionals,354,294,35112
"   Estimators, valuers and assessors",3541,53,37809
   Importers and exporters,3542,x,34757
   Project support officers,3543,71,34207
   Data analysts,3544,68,38107
   Business associate professionals n.e.c.,3549,99,33035
"  Sales, Marketing and Related Associate Professionals",355,863,41934
   Buyers and procurement officers,3551,61,36230
   Business sales executives,3552,165,36498
   Merchandisers ,3553,19,26554
   Marketing associate professionals,3554,133,30479
   Estate agents and auctioneers,3555,25,26988
   Sales accounts and business development managers,3556,415,56021
   Events managers and organisers,3557,46,29101
  Public Services Associate Professionals,356,82,38454
   Public services associate professionals,3560,82,38454
"  HR, Training and Other Vocational Associate Guidance Professionals",357,290,32847
   Human resources and industrial relations officers,3571,138,33012
   Careers advisers and vocational guidance specialists,3572,22,30045
   Information technology trainers,3573,x,36621
   Other vocational and industrial trainers,3574,125,33236
  Regulatory Associate Professionals,358,86,42156
   Inspectors of standards and regulations,3581,20,37236
   Health and safety managers and officers,3582,66,44551
Administrative and secretarial occupations,4,2588,26154
 Administrative occupations,41,2134,27006
  Administrative Occupations: Government and Related Organisations,411,201,30597
   National government administrative occupations,4111,131,31363
   Local government administrative occupations,4112,59,27642
   Officers of non-governmental organisations,4113,10,x
  Administrative Occupations: Finance,412,488,27367
   Credit controllers,4121,24,26981
"   Book-keepers, payroll managers and wages clerks",4122,272,27743
   Bank and post office clerks,4123,66,27671
   Finance officers,4124,28,28610
   Financial administrative occupations n.e.c.,4129,98,25936
  Administrative Occupations: Records,413,335,27560
   Records clerks and assistants,4131,139,26312
   Pensions and insurance clerks and assistants,4132,35,29329
   Stock control clerks and assistants,4133,69,28851
   Transport and distribution clerks and assistants,4134,55,32060
   Library clerks and assistants,4135,18,18659
   Human resources administrative occupations,4136,19,25531
  Administrative Occupations: Office Managers and Supervisors,414,317,33834
   Office managers,4141,195,35000
   Office supervisors,4142,57,32265
   Customer service managers,4143,66,32983
  Other Administrative Occupations,415,793,23797
   Sales administrators,4151,49,27132
   Data entry administrators,4152,16,26534
   Other administrative occupations n.e.c.,4159,728,23385
 Secretarial and related occupations,42,454,21061
  Secretarial and Related Occupations,421,454,21061
   Medical secretaries,4211,43,24071
   Legal secretaries,4212,22,24263
   School secretaries,4213,23,22155
   Company secretaries and administrators,4214,14,x
   Personal assistants and other secretaries,4215,164,25233
   Receptionists,4216,185,18152
   Typists and related keyboard occupations,4217,x,x
Skilled trades occupations,5,1470,34241
 Skilled agricultural and related trades,51,99,27550
  Agricultural and Related Trades,511,99,27550
   Farmers,5111,6,32728
   Horticultural trades,5112,x,24613
   Gardeners and landscape gardeners,5113,33,27057
   Groundsmen and greenkeepers,5114,38,27519
   Agricultural and fishing trades n.e.c.,5119,16,27676
" Skilled metal, electrical and electronic trades",52,765,39155
"  Metal Forming, Welding and Related Trades",521,53,34932
   Sheet metal workers,5211,8,31920
"   Metal plate workers, smiths, moulders and related occupations",5212,x,37035
   Welding trades,5213,37,34742
   Pipe fitters,5214,x,42580
"  Metal Machining, Fitting and Instrument Making Trades",522,295,38882
   Metal machining setters and setter-operators,5221,48,35394
"   Tool makers, tool fitters and markers-out",5222,8,38584
   Metal working production and maintenance fitters,5223,223,40002
   Precision instrument makers and repairers,5224,10,37031
   Air-conditioning and refrigeration installers and repairers,5225,x,41166
  Vehicle Trades,523,139,37181
"   Vehicle technicians, mechanics and electricians",5231,98,36560
   Vehicle body builders and repairers ,5232,16,34848
   Vehicle paint technicians,5233,x,34531
   Aircraft maintenance and related trades,5234,12,44704
   Boat and ship builders and repairers,5235,x,32600
   Rail and rolling stock builders and repairers,5236,x,64322
  Electrical and Electronic Trades,524,214,40000
   Electricians and electrical fitters,5241,97,39187
   Telecoms and related network installers and repairers,5242,25,39652
"   TV, video and audio servicers and repairers",5243,x,x
   Computer system and equipment installers and servicers,5244,9,34073
   Security system installers and repairers,5245,9,37991
   Electrical service and maintenance mechanics and repairers,5246,51,41111
   Electrical and electronic trades n.e.c.,5249,20,48171
"  Skilled Metal, Electrical and Electronic Trades Supervisors",525,64,44793
"   Skilled metal, electrical and electronic trades supervisors",5250,64,44793
 Skilled construction and building trades,53,279,34928
  Construction and Building Trades,531,199,34084
   Steel erectors,5311,x,34782
   Stonemasons and related trades,5312,x,33938
   Bricklayers ,5313,8,32480
"   Roofers, roof tilers and slaters",5314,12,30961
   Plumbers & heating and ventilating installers and repairers,5315,58,36563
   Carpenters and joiners,5316,56,33797
"   Glaziers, window fabricators and fitters",5317,17,28623
   Construction and building trades n.e.c.,5319,41,34378
  Building Finishing Trades,532,37,31996
   Plasterers,5321,7,33789
   Floorers and wall tilers,5322,9,32663
   Painters and decorators,5323,22,30889
  Construction and Building Trades Supervisors,533,42,45000
   Construction and building trades supervisors,5330,42,45000
" Textiles, printing and other skilled trades",54,328,26063
  Textiles and Garments Trades,541,19,25995
   Upholsterers,5411,x,26966
   Footwear and leather working trades,5412,x,25116
   Tailors and dressmakers,5413,x,x
"   Textiles, garments and related trades n.e.c.",5419,x,26173
  Printing Trades,542,16,27374
   Pre-press technicians,5421,x,27496
   Printers,5422,8,31367
   Print finishing and binding workers,5423,x,25296
  Food Preparation and Hospitality Trades,543,264,25822
   Butchers,5431,24,27929
   Bakers and flour confectioners,5432,10,26983
   Fishmongers and poultry dressers,5433,x,x
   Chefs,5434,152,26531
   Cooks,5435,39,17885
   Catering and bar managers,5436,37,27888
  Other Skilled Trades,544,29,27050
"   Glass and ceramics makers, decorators and finishers",5441,x,x
   Furniture makers and other craft woodworkers,5442,10,30328
   Florists,5443,x,x
   Other skilled trades n.e.c.,5449,12,26800
"Caring, leisure and other service occupations",6,2181,21331
 Caring personal service occupations,61,1811,21082
  Teaching and Childcare Support Occupations,611,517,17514
   Early education and childcare assistants,6111,83,19165
   Teaching assistants,6112,255,18024
   Educational support assistants,6113,138,17086
   Childminders,6114,x,x
   Nannies and au pairs,6116,11,22955
   Playworkers,6117,28,x
  Animal Care and Control Services,612,29,23997
   Pest control officers,6121,x,27487
   Animal care services occupations n.e.c.,6129,25,23345
  Caring Personal Services,613,1265,23668
   Nursing auxiliaries and assistants,6131,466,24761
   Ambulance staff (excluding paramedics),6132,21,31516
   Dental nurses,6133,53,22615
   Houseparents and residential wardens,6134,12,26499
   Care workers and home carers,6135,581,21487
   Senior care workers,6136,101,27417
   Care escorts,6137,14,12175
"   Undertakers, mortuary and crematorium assistants",6138,17,27020
" Leisure, travel and related personal service occupations",62,347,22297
  Leisure and Travel Services,621,131,25604
   Sports and leisure assistants,6211,42,14366
   Travel agents,6212,19,26426
   Air travel assistants,6213,42,28808
   Rail travel assistants,6214,19,45240
   Leisure and travel service occupations n.e.c.,6219,9,x
  Hairdressers and Related Services,622,66,15031
   Hairdressers and barbers,6221,38,15064
